rikishi1_rank_name,rikishi1_rank_level,rikishi1_hth_wins,rikishi2_rank_name,rikishi2_rank_level,rikishi2_hth_wins,y
M,6,0,M,8,0,yes
M,7,0,M,6,0,yes
M,5,6,M,4,4,no
M,5,0,M,4,3,no
M,3,0,M,1,1,no
S,1,11,S,1,6,no
O,2,8,M,3,2,yes
O,2,11,M,2,6,no
O,1,2,M,2,2,no
O,1,1,M,1,0,yes
O,3,6,K,1,6,yes
Y,1,1,K,1,0,yes
M,15,1,M,14,3,no
M,13,2,M,15,5,yes
M,16,2,M,12,1,yes
M,16,1,M,12,1,no
M,11,0,M,14,0,no
M,13,0,M,11,0,no
M,9,0,M,10,0,yes
M,9,1,M,10,0,yes
M,8,1,M,7,0,yes
M,7,0,M,8,0,yes
M,5,1,M,6,4,no
M,5,0,M,6,0,yes
M,2,6,M,4,1,yes
M,4,0,M,1,0,no
S,1,10,K,1,9,yes
O,3,0,M,1,0,yes
O,2,1,K,1,0,yes
S,1,12,O,2,18,no
O,1,8,M,3,4,yes
M,3,4,O,1,11,no
Y,1,5,M,2,0,yes
M,16,0,M,14,1,yes
M,13,1,M,15,1,no
M,13,0,M,12,0,yes
M,16,1,M,11,0,yes
M,10,1,M,15,0,yes
M,9,0,M,14,0,no
M,12,0,M,9,1,no
M,11,12,M,8,8,no
M,7,1,M,10,0,no
M,6,2,M,8,1,yes
M,5,3,M,7,4,yes
M,6,1,M,4,3,no
M,5,3,M,2,1,yes
M,1,1,M,1,0,no
K,1,2,K,1,3,no
S,1,5,O,1,13,no
O,3,21,M,4,9,no
O,2,5,M,2,1,no
O,2,6,M,3,3,yes
O,1,15,S,1,6,no
M,3,2,Y,1,22,no
M,13,0,M,14,0,yes
M,15,0,M,12,3,yes
M,12,1,M,14,4,no
M,11,1,M,15,0,yes
M,16,1,M,11,2,no
M,16,3,M,10,0,yes
M,13,0,M,10,0,yes
M,9,0,M,8,0,no
M,9,2,M,7,1,no
M,7,1,M,6,0,no
M,8,4,M,6,7,no
M,4,7,M,5,7,yes
M,5,0,M,4,2,no
M,2,0,M,1,2,no
K,1,1,M,1,0,no
M,3,6,O,1,13,no
M,2,0,O,1,4,no
O,3,2,K,1,0,yes
S,1,14,O,2,14,yes
S,1,7,O,2,15,no
Y,1,11,M,3,0,yes
M,16,1,M,14,1,yes
M,13,5,M,15,3,yes
M,16,0,M,12,2,no
M,15,1,M,11,1,no
M,13,6,M,11,6,yes
M,10,1,M,14,0,no
M,12,0,M,7,2,no
M,9,0,M,7,1,no
M,6,0,M,10,0,yes
M,9,0,M,6,0,yes
M,8,3,M,5,10,no
M,5,0,M,8,0,yes
M,3,4,M,3,5,yes
M,2,1,M,1,1,yes
M,2,5,K,1,10,no
S,1,1,K,1,1,no
O,1,6,M,4,2,yes
M,4,4,O,1,14,no
O,3,0,M,1,1,yes
O,2,14,O,2,24,no
Y,1,20,S,1,1,no
M,15,0,M,14,2,yes
M,16,1,M,12,0,yes
M,14,0,M,11,1,no
M,16,1,M,10,3,no
M,13,3,M,9,2,yes
M,12,0,M,8,0,yes
M,15,0,M,8,1,no
M,13,5,M,7,4,no
M,6,2,M,10,2,yes
M,11,0,M,6,4,no
M,9,2,M,5,2,no
M,7,0,M,4,1,no
M,5,4,M,3,4,yes
M,3,5,M,2,5,yes
M,2,4,K,1,1,no
S,1,1,M,1,0,yes
M,4,11,O,2,14,yes
O,2,0,M,1,0,yes
O,1,13,K,1,1,yes
O,1,13,O,3,26,yes
S,1,3,Y,1,22,no
M,15,1,M,14,0,no
M,12,0,M,11,0,yes
M,11,0,M,12,0,no
M,14,0,M,10,2,no
M,13,17,M,9,12,yes
M,8,3,M,15,4,no
M,16,1,M,8,1,no
M,16,2,M,7,4,no
M,13,0,M,6,6,no
M,10,3,M,6,3,yes
M,5,1,M,9,1,yes
M,4,1,M,7,0,yes
M,3,1,M,5,1,no
M,2,5,M,3,3,yes
K,1,2,M,4,9,no
M,2,4,K,1,0,no
S,1,2,M,1,0,no
S,1,1,M,1,0,yes
O,1,23,O,2,13,yes
O,2,11,O,1,9,yes
Y,1,28,O,3,3,yes
M,10,4,M,12,6,no
M,16,1,M,10,1,no
M,15,0,M,9,2,no
M,9,2,M,14,0,yes
M,14,0,M,8,1,yes
M,13,1,M,7,2,yes
M,7,0,M,11,0,no
M,15,0,M,6,2,no
M,13,3,M,6,6,no
M,5,1,M,12,1,yes
M,11,2,M,5,7,no
M,8,3,M,4,5,no
M,3,5,M,2,8,yes
M,2,4,M,3,8,no
K,1,1,M,1,2,yes
M,16,1,S,1,0,no
S,1,0,M,1,0,no
O,3,10,O,1,13,yes
M,4,7,O,2,19,no
O,1,4,K,1,6,yes
Y,1,28,O,2,8,yes
M,15,1,J,2,1,no
M,14,0,J,1,2,no
M,11,2,M,16,0,no
M,10,1,M,11,3,yes
M,9,2,M,12,0,yes
M,9,2,M,12,2,yes
M,8,1,M,14,0,yes
M,15,0,M,7,0,no
M,16,1,M,6,1,no
M,13,0,M,6,0,yes
M,13,1,M,5,5,no
M,5,1,M,10,0,no
M,4,2,M,7,1,yes
M,3,3,M,1,0,yes
K,1,1,M,1,1,no
S,1,10,M,2,6,yes
O,1,12,O,1,11,no
S,1,8,O,3,11,yes
O,2,7,M,4,1,yes
Y,1,25,O,2,7,no
M,15,1,M,12,3,yes
M,13,2,M,11,4,yes
M,11,0,M,14,1,no
M,12,0,M,10,1,yes
M,9,0,M,16,0,yes
M,13,7,M,8,14,no
M,7,1,M,14,2,yes
M,15,3,M,7,3,no
M,9,1,M,6,4,no
M,16,0,M,4,2,no
M,10,0,M,3,3,no
M,6,2,M,1,4,no
M,2,0,M,1,1,no
M,5,5,K,1,0,yes
M,3,8,K,1,3,yes
S,1,3,M,5,0,yes
O,2,3,O,1,18,yes
O,3,7,M,4,1,no
S,1,12,O,2,9,yes
O,1,11,Y,1,23,no
M,14,0,M,12,1,no
M,11,6,M,15,4,yes
M,15,1,M,10,1,no
M,13,0,M,10,0,no
M,16,0,M,9,1,no
M,8,0,M,11,0,yes
M,7,1,M,14,1,yes
M,16,1,M,7,1,no
M,9,3,M,5,3,no
M,13,2,M,4,2,no
M,12,0,M,3,2,no
M,6,1,M,1,4,yes
M,2,1,M,1,0,no
M,5,1,K,1,1,yes
M,3,4,K,1,1,no
S,1,3,M,4,1,yes
S,1,9,M,6,3,no
O,3,24,O,2,13,yes
O,1,16,O,2,16,yes
Y,1,20,O,1,3,yes
Y,1,20,S,1,2,yes
J,1,0,M,16,0,no
M,15,1,M,15,3,no
M,14,0,M,13,0,yes
M,12,1,M,13,0,no
M,11,4,M,12,2,no
M,11,0,M,10,1,no
M,10,4,M,9,10,yes
M,8,4,M,9,2,no
M,7,5,M,8,5,no
M,7,3,M,6,2,no
M,5,2,M,6,3,no
M,5,2,M,4,2,yes
M,3,4,M,4,10,no
M,3,4,S,1,8,no
O,3,2,M,2,0,yes
O,3,1,M,2,0,yes
O,2,1,M,1,0,yes
O,2,6,M,1,3,yes
S,1,4,O,1,15,no
O,1,10,K,1,3,yes
K,1,3,Y,1,23,yes
M,15,1,J,1,0,no
M,16,3,M,13,1,yes
M,15,3,M,12,6,no
M,14,5,M,11,1,yes
M,11,2,M,13,3,yes
M,9,1,M,12,2,no
M,8,0,M,10,0,yes
M,10,4,M,8,3,yes
M,9,0,M,6,1,no
M,7,16,M,5,19,yes
M,4,0,M,7,1,yes
M,6,1,M,4,3,yes
M,3,2,M,5,4,no
S,1,3,M,3,1,yes
O,1,2,M,2,0,no
O,3,2,M,2,0,no
O,3,11,S,1,3,no
O,2,12,K,1,3,yes
K,1,12,O,2,19,no
O,1,1,M,1,0,yes
Y,1,9,M,1,0,yes
M,15,2,J,2,0,yes
M,14,2,M,16,1,no
M,15,0,M,13,0,yes
M,12,0,M,13,1,yes
M,11,4,M,12,7,yes
M,10,5,M,11,2,yes
M,9,0,M,10,0,no
M,9,6,M,8,3,no
M,8,0,M,7,0,yes
M,7,1,M,6,0,no
M,6,6,M,5,3,no
M,5,3,M,4,1,no
M,3,8,M,4,6,no
K,1,13,S,1,16,no
O,1,1,M,2,0,yes
O,1,7,M,1,2,yes
O,3,9,S,1,4,yes
O,3,2,M,3,0,no
O,2,3,M,2,0,yes
O,2,6,K,1,5,yes
Y,1,1,M,1,0,yes
J,2,0,M,14,2,yes
M,12,4,M,16,0,yes
M,11,2,M,15,0,no
M,15,0,M,10,0,no
M,9,0,M,13,0,no
M,8,1,M,13,0,no
M,8,2,M,12,0,no
M,11,2,M,7,0,yes
M,10,0,M,6,1,no
M,9,1,M,6,0,no
M,5,1,M,4,1,no
M,7,4,M,4,0,yes
M,5,9,M,3,2,no
K,1,5,S,1,5,no
O,2,3,M,2,0,yes
K,1,5,O,1,14,yes
O,1,1,M,1,0,yes
O,3,9,S,1,6,yes
M,3,5,O,3,13,no
O,2,7,M,1,2,yes
Y,1,1,M,2,0,yes
J,3,1,M,13,0,no
M,15,2,M,13,1,yes
M,15,1,M,12,2,yes
M,11,1,M,16,5,no
M,10,7,M,14,6,no
M,11,0,M,9,3,yes
M,9,1,M,12,1,no
M,7,1,M,8,3,no
M,6,0,M,10,0,no
M,5,4,M,8,4,yes
M,5,1,M,6,0,yes
M,7,2,M,4,4,yes
M,4,2,M,2,4,no
S,1,12,S,1,3,yes
O,2,9,M,3,12,yes
O,2,1,M,2,0,no
O,1,5,M,1,2,yes
O,1,2,M,3,0,no
O,3,0,M,1,1,yes
K,1,15,O,3,14,yes
Y,1,12,K,1,0,yes
J,4,1,M,16,0,no
M,15,0,M,13,1,yes
M,12,3,M,12,1,yes
M,11,2,M,15,0,yes
M,14,4,M,9,9,no
M,7,0,M,13,1,yes
M,6,4,M,11,0,yes
M,6,0,M,10,0,no
M,5,1,M,8,0,yes
M,5,1,M,7,0,no
M,10,1,M,4,7,no
M,9,0,M,4,2,yes
M,8,4,M,3,2,no
S,1,2,M,1,0,yes
O,3,8,M,1,1,yes
K,1,13,O,2,20,no
O,2,9,S,1,2,yes
O,1,4,M,3,0,yes
O,1,1,M,2,0,no
O,3,9,K,1,8,yes
Y,1,2,M,2,0,yes
J,4,1,M,15,2,yes
M,14,3,M,12,0,no
M,16,0,M,10,0,yes
M,10,1,M,13,0,no
M,15,6,M,9,2,no
M,12,0,M,8,1,no
M,7,3,M,13,1,yes
M,11,2,M,6,2,no
M,6,5,M,11,4,no
M,5,16,M,9,9,no
M,7,2,M,5,2,yes
M,8,2,M,4,7,no
M,1,1,M,4,5,no
K,1,5,K,1,5,no
O,3,8,M,1,1,yes
O,3,2,M,2,0,yes
O,2,1,M,2,0,no
O,2,12,M,3,4,yes
O,1,8,S,1,5,no
O,1,24,S,1,7,yes
Y,1,1,M,3,0,no
J,3,1,M,16,1,no
M,14,7,M,15,4,no
M,15,1,M,12,2,no
M,11,1,M,13,0,yes
M,10,1,M,12,0,yes
M,9,1,M,13,0,yes
M,9,0,M,7,1,no
M,7,0,M,10,0,yes
M,6,2,M,8,4,yes
M,11,0,M,6,0,yes
M,8,4,M,5,2,yes
M,4,1,M,2,1,yes
M,2,2,M,4,2,yes
M,5,2,M,1,2,no
K,1,4,M,1,1,yes
O,1,15,M,3,3,yes
O,3,9,K,1,7,yes
O,2,2,M,3,3,yes
S,1,7,O,2,20,no
O,3,8,O,1,15,yes
Y,1,13,S,1,0,no
J,1,2,M,13,1,yes
M,14,1,M,12,4,no
M,11,3,M,15,5,yes
M,11,2,M,16,1,yes
M,9,1,M,12,2,yes
M,8,0,M,13,0,no
M,10,2,M,8,3,no
M,7,1,M,7,0,yes
M,5,5,M,9,1,no
M,6,2,M,4,1,no
M,3,1,M,4,1,yes
M,3,1,M,6,1,no
M,5,0,M,2,0,yes
K,1,1,M,1,2,no
S,1,1,M,1,4,yes
O,1,2,M,2,1,yes
K,1,11,O,3,7,yes
O,1,17,O,3,16,no
O,2,25,O,2,13,no
Y,1,20,S,1,2,no
M,15,1,M,16,5,no
M,13,0,M,13,0,yes
M,10,3,M,15,5,no
M,14,17,M,9,8,no
M,11,1,M,8,5,yes
M,12,2,M,7,4,no
M,6,2,M,9,3,yes
M,12,1,M,6,1,no
M,5,2,M,11,0,yes
M,7,9,M,4,3,yes
M,8,1,M,4,4,yes
M,5,2,M,3,5,yes
M,3,1,M,2,3,yes
K,1,6,M,1,5,no
K,1,3,M,1,0,yes
S,1,0,M,2,0,no
O,1,10,S,1,6,yes
O,2,14,O,3,25,yes
O,2,11,O,1,13,no
Y,1,21,O,3,2,yes
M,14,0,M,15,1,yes
M,12,0,M,13,0,no
M,12,2,M,13,0,yes
M,9,0,M,11,1,no
M,8,3,M,11,2,no
M,8,0,M,16,0,yes
M,7,4,M,15,4,yes
M,10,1,M,6,0,no
M,5,0,M,7,2,no
M,9,0,M,4,3,yes
M,5,8,M,3,7,no
M,6,8,M,3,3,no
M,2,2,M,1,1,no
K,1,0,M,2,1,no
S,1,0,M,1,2,no
S,1,3,M,4,2,yes
K,1,4,O,1,13,no
O,1,14,O,2,26,no
O,3,7,O,2,16,no
Y,1,29,O,3,8,yes
J,2,1,M,15,2,yes
J,2,0,M,13,2,no
M,14,2,M,11,1,yes
M,11,2,M,9,4,no
M,8,0,M,13,0,yes
M,9,1,M,7,0,yes
M,7,0,M,16,0,yes
M,6,4,M,12,0,yes
M,12,1,M,6,1,yes
M,15,1,M,5,3,no
M,8,2,M,5,2,no
M,10,0,M,4,2,yes
M,3,0,M,2,1,no
M,1,0,M,1,2,no
K,1,1,M,3,1,yes
S,1,8,K,1,7,no
S,1,1,M,2,1,no
O,2,9,M,4,5,no
O,3,12,O,1,9,yes
O,1,15,O,3,7,no
Y,1,29,O,2,3,yes
M,14,1,M,13,1,yes
M,12,2,J,1,2,yes
M,15,0,M,9,1,no
M,8,0,M,12,0,yes
M,15,5,M,8,6,no
M,7,0,M,11,0,yes
M,16,0,M,6,3,no
M,6,4,M,9,1,yes
M,10,18,M,5,12,no
M,11,2,M,5,1,no
M,3,1,M,7,1,no
M,1,0,M,2,1,no
M,4,2,M,1,1,no
K,1,5,M,4,9,no
K,1,6,M,2,0,yes
S,1,5,M,3,12,no
O,3,13,O,3,9,no
O,2,7,S,1,9,no
O,1,12,O,1,12,yes
Y,1,25,O,2,8,yes
M,14,2,J,4,1,no
M,11,1,M,12,0,no
M,9,0,M,13,1,no
M,9,0,M,12,1,yes
M,8,0,M,11,0,no
M,10,1,M,7,0,no
M,15,1,M,6,0,no
M,5,1,M,16,0,yes
M,15,2,M,4,1,yes
M,3,4,M,8,5,no
M,6,1,M,2,0,yes
M,5,2,M,1,3,no
M,1,0,M,2,1,yes
M,3,3,K,1,11,yes
K,1,8,S,1,6,no
O,3,11,M,4,9,no
M,7,4,O,3,18,yes
O,2,21,S,1,10,yes
O,1,24,O,2,13,no
Y,1,21,O,1,3,yes
M,15,0,J,1,0,no
M,11,3,M,12,1,yes
M,10,1,M,12,1,no
M,9,0,M,16,0,no
M,9,7,M,15,1,yes
M,14,1,M,7,1,no
M,6,0,M,13,0,yes
M,11,2,M,4,1,yes
M,5,1,M,2,2,no
M,8,0,M,2,1,no
M,8,2,M,1,2,no
M,3,3,M,1,6,yes
K,1,0,M,6,0,no
K,1,4,M,3,4,yes
M,7,4,S,1,9,yes
S,1,6,M,5,1,yes
O,3,9,O,2,11,no
O,2,4,O,1,18,no
O,1,11,Y,1,24,yes
M,7,10,M,4,3,yes
M,16,0,M,15,1,no
M,14,3,M,15,1,yes
M,13,2,M,14,3,yes
